"date","sim","obs"
2006-05-08,4.301,12.685947273216
2006-05-09,5.318,13.535452670976
2006-05-10,5.913,14.073472756224
2006-05-11,5.75,14.781393921024
2006-05-12,5.358,15.29109715968
2006-05-13,4.483,15.234463466496
2006-05-14,4.258,14.951295000576
2006-05-15,4.254,14.8663444608
2006-05-16,3.732,14.413274915328
2006-05-17,3.55,13.73367059712
2006-05-18,2.922,13.535452670976
2006-05-19,2.339,13.931888523264
2006-05-20,1.812,13.87525483008
2006-05-21,1.392,13.02574943232
2006-05-22,1.042,11.808125028864
2006-05-23,0.8542,10.647134318592
2006-05-24,0.6206,9.712678381056
2006-05-25,0.3626,9.033074062848
2006-05-26,0.1431,8.4950539776
2006-05-27,0.03044,7.92871704576
2006-05-28,0,7.64554857984
2006-05-29,0,7.7871328128
2006-05-30,0,7.673865426432
2006-05-31,0,7.079211648
2006-06-01,0,6.739409488896
2006-06-02,0.4748,6.314656790016
2006-06-03,1.622,7.135845341184
2006-06-04,3.086,7.36238011392
2006-06-05,3.999,8.4950539776
2006-06-06,4.102,10.109114233344
2006-06-07,3.585,10.647134318592
2006-06-08,2.949,9.939213153792
2006-06-09,2.307,8.77822244352
2006-06-10,1.65,7.702182273024
2006-06-11,1.041,6.79604318208
2006-06-12,0.758,5.974854630912
2006-06-13,1.339,5.578418778624
2006-06-14,2.105,7.617231733248
2006-06-15,2.847,10.76040170496
2006-06-16,3.292,13.02574943232
2006-06-17,3.297,14.413274915328
2006-06-18,2.973,14.356641222144
2006-06-19,2.456,12.657630426624
2006-06-20,1.87,10.47723323904
2006-06-21,1.4,8.948123523072
2006-06-22,1.014,7.843766505984
2006-06-23,0.7521,6.880993721856
2006-06-24,0.5768,6.173072557056
2006-06-25,0.92,5.578418778624
2006-06-26,2.977,5.465151392256
2006-06-27,5.542,6.342973636608
2006-06-28,7.995,9.571094148096
2006-06-29,8.757,12.487729347072
2006-06-30,8.063,14.809710767616
2006-07-01,6.66,16.537038409728
2006-07-02,5.287,16.650305796096
2006-07-03,3.954,14.58317599488
2006-07-04,2.854,12.006342955008
2006-07-05,2.027,9.76931207424
2006-07-06,1.443,8.183568665088
2006-07-07,1.061,6.965944261632
2006-07-08,0.7393,6.003171477504
2006-07-09,0.4091,5.210299772928
2006-07-10,0.2241,4.842180767232
2006-07-11,0.08402,4.842180767232
2006-07-12,0.03421,4.728913380864
2006-07-13,0,4.332477528576
2006-07-14,0,3.907724829696
2006-07-15,0,3.539605824
2006-07-16,0,3.058219431936
2006-07-17,0,2.775050966016
2006-07-18,0,2.7948727586304
2006-07-19,0,2.6362984177152
2006-07-20,0,2.8005361279488
2006-07-21,0,2.97326889216
2006-07-22,0.0449,3.086536278528
2006-07-23,0.1661,2.944952045568
2006-07-24,2.194,2.944952045568
2006-07-25,5.69,2.7637242273792
2006-07-26,7.818,2.97326889216
2006-07-27,8.079,3.426338437632
2006-07-28,8.198,5.125349233152
2006-07-29,9.859,6.93762741504
2006-07-30,11,8.183568665088
2006-07-31,10.7,8.749905596928
2006-08-01,9.657,9.231291988992
2006-08-02,7.943,9.797628920832
2006-08-03,6.181,9.599410994688
2006-08-04,4.672,8.721588750336
2006-08-05,3.477,7.758815966208
2006-08-06,2.676,6.79604318208
2006-08-07,2.114,6.201389403648
2006-08-08,1.662,5.635052471808
2006-08-09,1.288,5.210299772928
2006-08-10,0.9824,4.785547074048
2006-08-11,0.7035,4.417428068352
2006-08-12,0.7676,4.53069545472
2006-08-13,0.77,4.785547074048
2006-08-14,0.7737,4.615645994496
2006-08-15,0.757,4.700596534272
2006-08-16,0.9613,4.67227968768
2006-08-17,1.01,4.559012301312
2006-08-18,0.9605,4.2475269888
2006-08-19,0.784,3.907724829696
2006-08-20,0.7376,3.652873210368
2006-08-21,0.5569,3.766140596736
2006-08-22,0.832,3.737823750144
2006-08-23,2.054,3.68119005696
2006-08-24,4.332,3.482972130816
2006-08-25,6.695,3.624556363776
2006-08-26,7.877,4.332477528576
2006-08-27,7.574,5.550101932032
2006-08-28,6.557,6.824360028672
2006-08-29,6.034,7.079211648
2006-08-30,5.154,7.249112727552
2006-08-31,5.482,7.985350738944
2006-09-01,5.557,8.63663821056
2006-09-02,5.561,8.35346974464
2006-09-03,5.478,7.390696960512
2006-09-04,4.936,7.107528494592
2006-09-05,4.953,7.475647500288
2006-09-06,4.8,7.419013807104
2006-09-07,4.275,7.50396434688
2006-09-08,4.035,7.277429574144
2006-09-09,3.55,6.739409488896
2006-09-10,2.938,6.144755710464
2006-09-11,2.324,5.691686164992
2006-09-12,1.881,5.323567159296
2006-09-13,5.729,5.068715539968
2006-09-14,10.39,5.012081846784
2006-09-15,13.22,5.068715539968
2006-09-16,13.62,5.040398693376
2006-09-17,12.13,5.465151392256
2006-09-18,10.4,6.569508409344
2006-09-19,8.401,7.164162187776
2006-09-20,6.767,7.305746420736
2006-09-21,5.365,7.22079588096
2006-09-22,4.418,6.79604318208
2006-09-23,3.727,6.08812201728
2006-09-24,3.024,5.550101932032
2006-09-25,2.613,5.153666079744
2006-09-26,2.116,4.898814460416
2006-09-27,1.874,4.559012301312
2006-09-28,1.507,4.10594275584
2006-09-29,1.3,3.68119005696
2006-09-30,1.118,3.426338437632
2006-10-01,0.9288,3.228120511488
2006-10-02,0.7686,3.199803664896
2006-10-03,0.6711,3.143169971712
2006-10-04,0.566,3.001585738752
2006-10-05,0.4612,2.860001505792
2006-10-06,0.3873,2.7410707501056
2006-10-07,0.3084,2.675942002944
2006-10-08,0.2892,2.6419617870336
2006-10-09,0.346,2.6023182018048
2006-10-10,0.3242,2.7495658040832
2006-10-11,0.3206,2.8146945512448
2006-10-12,0.2827,2.8316846592
2006-10-13,0.2745,2.7948727586304
2006-10-14,0.2364,2.860001505792
2006-10-15,0.2647,2.916635198976
2006-10-16,0.1989,2.8316846592
2006-10-17,0.2704,2.7665559120384
2006-10-18,0.2716,2.8316846592
2006-10-19,0.3565,2.888318352384
2006-10-20,0.388,2.97326889216
2006-10-21,0.4548,3.001585738752
2006-10-22,1.184,3.96435852288
2006-10-23,2.224,5.012081846784
2006-10-24,3.144,5.181982926336
2006-10-25,3.881,5.125349233152
2006-10-26,4.174,5.408517699072
2006-10-27,6.822,5.861587244544
2006-10-28,9.196,6.059805170688
2006-10-29,10.35,5.974854630912
2006-10-30,10.28,5.691686164992
2006-10-31,9.119,6.059805170688
2006-11-01,7.778,6.965944261632
2006-11-02,6.257,7.588914886656
2006-11-03,4.917,7.900400199168
2006-11-04,3.905,7.7871328128
2006-11-05,3.22,7.588914886656
2006-11-06,2.518,7.36238011392
2006-11-07,2.598,7.079211648
2006-11-08,2.662,6.767726335488
2006-11-09,2.785,6.597825255936
2006-11-10,2.797,6.569508409344
2006-11-11,2.75,6.767726335488
2006-11-12,2.595,7.107528494592
2006-11-13,2.518,7.532281193472
2006-11-14,2.233,7.843766505984
2006-11-15,5.482,7.985350738944
2006-11-16,9.577,8.296836051456
2006-11-17,12.69,8.381786591232
2006-11-18,13.38,8.438420284416
2006-11-19,12.37,8.806539290112
2006-11-20,10.8,9.514460454912
2006-11-21,9.8,10.222381619712
2006-11-22,9.281,10.958619631104
2006-11-23,9.082,11.553273409536
2006-11-24,8.337,11.89307556864
2006-11-25,7.582,12.0346598016
2006-11-26,6.672,12.119610341376
2006-11-27,5.82,12.091293494784
2006-11-28,5.061,11.949709261824
2006-11-29,4.368,11.638223949312
2006-11-30,3.782,11.270104943616
2006-12-01,3.5,11.071887017472
2006-12-02,3.15,10.845352244736
2006-12-03,3.041,10.562183778816
2006-12-04,2.943,10.33564900608
2006-12-05,2.83,10.363965852672
2006-12-06,2.713,10.420599545856
2006-12-07,2.536,10.279015312896
2006-12-08,2.51,10.024163693568
2006-12-09,2.439,9.854262614016
2006-12-10,2.257,9.684361534464
2006-12-11,2.106,9.514460454912
2006-12-12,1.951,9.34455937536
2006-12-13,1.828,9.259608835584
2006-12-14,1.849,9.231291988992
2006-12-15,1.711,9.118024602624
2006-12-16,1.601,9.146341449216
2006-12-17,1.518,9.259608835584
2006-12-18,1.384,9.48614360832
2006-12-19,1.306,9.684361534464
2006-12-20,1.194,9.740995227648
2006-12-21,1.089,9.740995227648
2006-12-22,8.122,10.307332159488
2006-12-23,17.45,12.0346598016
2006-12-24,23.34,13.422185284608
2006-12-25,36.19,14.696443381248
2006-12-26,40.72,17.301593267712
2006-12-27,38.63,20.897832784896
2006-12-28,33.44,26.646152643072
2006-12-29,27.94,33.13071051264
2006-12-30,23.81,39.36041676288
2006-12-31,23.91,45.87329147904
2007-01-01,24.71,50.40398693376
2007-01-02,25.04,50.40398693376
2007-01-03,24.25,47.85547074048
2007-01-04,23.07,44.45744914944
2007-01-05,35.98,41.62576449024
2007-01-06,45.35,39.6435852288
2007-01-07,52.12,37.66140596736
2007-01-08,54.63,36.24556363776
2007-01-09,53.67,35.67922670592
2007-01-10,50.8,36.8119005696
2007-01-11,48.47,40.20992216064
2007-01-12,46.16,45.3069545472
2007-01-13,44.57,50.40398693376
2007-01-14,43.09,53.8020085248
2007-01-15,41.47,55.50101932032
2007-01-16,41.32,56.35052471808
2007-01-17,41.33,56.35052471808
2007-01-18,42.95,56.633693184
2007-01-19,44.16,54.36834545664
2007-01-20,44.97,50.12081846784
2007-01-21,47.51,43.60794375168
2007-01-22,60.55,39.36041676288
2007-01-23,68.49,38.2277428992
2007-01-24,71.13,38.51091136512
2007-01-25,70.3,39.07724829696
2007-01-26,68.94,40.77625909248
2007-01-27,67.42,44.17428068352
2007-01-28,67.33,48.70497613824
2007-01-29,66.37,49.83765000192
2007-01-30,63.81,50.12081846784
2007-01-31,61.53,50.9703238656
2007-02-01,79,53.51884005888
2007-02-02,88.79,61.73072557056
2007-02-03,90.88,68.52676875264
2007-02-04,89.1,72.49112727552
2007-02-05,86.08,71.92479034368
2007-02-06,82.57,71.92479034368
2007-02-07,76.02,75.0396434688
2007-02-08,71.88,74.19013807104
2007-02-09,69.14,68.24360028672
2007-02-10,65.78,62.86339943424
2007-02-11,63.07,60.03171477504
2007-02-12,60.38,58.0495355136
2007-02-13,64.84,54.93468238848
2007-02-14,65.45,52.10299772928
2007-02-15,64.56,48.70497613824
